Direction,Year,max_leaf_nodes,Accuracy Score
Arrival,1989,3,0.6031973765115802
Arrival,1990,3,0.6124370956146657
Arrival,2000,7,0.6211562543481286
Arrival,2001,3,0.6054795830544133
Arrival,2006,6,0.6305498753466484
Arrival,2007,6,0.6174496644295302
Departure,1989,3,0.6001151694636394
Departure,1990,2,0.5986899563318777
Departure,2000,2,0.6052125778427001
Departure,2001,2,0.5936220311220312
Departure,2006,7,0.623550401427297
Departure,2007,3,0.6078768909754825
