Year,Month,Arr_60-74,Arr_75-89,Arr_90-104,Arr_105-119,Arr_120-134,Arr_135-149,Arr_150-164,Arr_165-179,Arr_Above_180,Dep_60-74,Dep_75-89,Dep_90-104,Dep_105-119,Dep_120-134,Dep_135-149,Dep_150-164,Dep_165-179,Dep_Above_180
2012,Jan,4963,3437,2623,1963,1406,1096,940,672,2423,5137,3463,2679,1944,1474,1120,874,683,2434
2012,Feb,4043,2802,2047,1501,1126,800,563,420,1580,4159,2840,2152,1595,1160,807,574,445,1640
2012,Mar,6249,4418,3271,2304,1728,1298,1039,846,3123,6609,4543,3227,2365,1775,1406,1038,854,3254
2012,Apr,4603,3215,2308,1576,1157,878,704,545,1840,4774,3402,2423,1672,1227,901,736,564,1947
2012,May,6058,4217,3114,2457,1750,1355,1054,790,2862,5939,4409,3148,2413,1824,1272,1024,816,2921
2012,Jun,7072,4949,3662,2774,2135,1644,1317,1045,4218,7155,5111,3657,2759,2259,1672,1293,1075,4285
2012,Jul,10260,7191,5413,4197,3239,2506,1922,1454,6239,10017,7186,5298,4084,3132,2489,1943,1467,6311
2012,Aug,8002,5720,4437,3352,2582,1942,1519,1117,4545,8023,5889,4419,3355,2569,1919,1563,1192,4646
2012,Sep,6203,4268,3082,2232,1671,1158,912,648,2528,5951,4281,3010,2234,1630,1122,893,656,2523
2012,Oct,6060,3922,2925,2190,1638,1237,940,766,2517,6013,4090,2856,2151,1645,1290,964,720,2569
2012,Nov,4303,3010,2197,1643,1209,950,769,567,2427,4615,3258,2393,1750,1326,996,776,666,2584
2012,Dec,8016,5666,4169,3017,2270,1676,1281,1011,4083,8232,5748,4213,2973,2230,1698,1300,1011,4037
